PMC6613603	R02006	98	136	FA 7:0;3(2:0;2Me);6oxo
PMC4969608	R03013	30	53	FA 5:0;4OH
PMC4969608	R03002	50	73	FA 5:0;4OH
PMC4969608	A00007	19	42	FA 5:0;4OH
PMC4969608	A00006	68	91	FA 5:0;4OH
PMC4969608	D00047	105	128	FA 5:0;4OH
PMC4969608	R03015	34	57	FA 5:0;4OH
PMC4969608	R03031	113	136	FA 5:0;4OH
PMC5882858	R00040	150	171	FA 9:0;4Me
PMC5882858	D01014	13	34	FA 9:0;4Me
PMC2818256	A01000	55	70	FAL 9:1(2);oxo
PMC2818256	A00001	57	72	FAL 9:1(2);oxo
PMC2818256	A00004	112	133	FA 9:1(2);oxo
PMC6240090	R01024	99	120	FA 5:0;5NH2
PMC6240090	R01025	20	41	FA 5:0;5NH2
PMC6877605	D05011	40	46	FA 20:5;OH
PMC3426673	R07015	28	34	FA 20:5;OH
PMC6877605	R01015	467	473	FA 20:5;OH
PMC6877605	R03003	467	473	FA 20:5;OH
PMC6877605	D05008	13	19	FA 20:5;OH
PMC6877605	D05006	11	17	FA 20:5;OH
PMC3741366	M06024	333	339	FA 20:5;OH
PMC3741366	M10007	333	339	FA 20:5;OH
PMC6877605	D05010	61	67	FA 20:5;OH
PMC3426673	R07017	87	93	FA 20:5;OH
PMC3426673	R07013	102	108	FA 20:5;OH
PMC6877605	D05007	60	66	FA 20:5;OH
PMC3741366	M10007	1555	1561	FA 20:4;OH
PMC3741366	R02002	26	32	FA 20:4;OH
PMC5007069	R00022	77	83	FA 20:4;OH
PMC6877605	D05000	0	6	FA 20:4;OH
PMC6877605	D05003	42	48	FA 20:4;OH
PMC3426673	R07010	310	316	FA 20:4;OH
PMC3741366	R03001	78	84	FA 20:4;OH
PMC3426673	R07006	29	35	FA 20:4;OH
PMC3426673	R07013	39	45	FA 20:4;OH
PMC6877605	D05002	163	169	FA 20:4;OH
PMC3426673	R07005	124	130	FA 20:4;OH
PMC6877605	R01015	496	502	FA 20:4;OH
PMC6818879	A02001	148	154	FA 20:4;OH
PMC6877605	R03003	496	502	FA 20:4;OH
PMC6877605	D05001	138	144	FA 20:4;OH
PMC6877605	D05005	82	88	FA 20:4;OH
PMC3426673	R07012	53	59	FA 20:4;OH
PMC6314687	R03000	164	170	FA 20:4;OH
PMC3741366	M06024	1555	1561	FA 20:4;OH
PMC5007069	R00022	85	114	FA 20:4;5OH
PMC3655955	D00019	16	40	FA 21:0;5oxo
PMC3655955	D00044	58	82	FA 21:0;5oxo
PMC3655955	R01007	43	67	FA 21:0;5oxo
PMC3655955	D00027	35	59	FA 21:0;5oxo
PMC3568070	M01009	32	43	FA 20:4;(OH)2
PMC6818879	A02001	330	340	FA 20:4;(OH)2
PMC3426673	R06018	143	154	FA 20:3;(OH)2
PMC6572825	R03020	61	72	FA 20:3;(OH)2
PMC6314687	R09004	136	143	FA 20:3;Ep
PMC5156423	R02003	113	120	FA 20:3;Ep
PMC6314687	R05009	219	226	FA 20:3;Ep
PMC5156423	R02015	48	55	FA 20:3;Ep
PMC4544761	R00026	14	21	FA 20:3;Ep
PMC6314687	R06001	168	175	FA 20:3;Ep
PMC6314687	R09002	13	20	FA 20:3;Ep
PMC6314687	R09004	8	15	FA 20:3;Ep
PMC6314687	A00006	293	300	FA 20:3;Ep
PMC6314687	R11005	60	67	FA 20:3;Ep
PMC6314687	R09003	43	50	FA 20:3;Ep
PMC6314687	R09007	41	48	FA 20:3;Ep
PMC6314687	R11004	93	100	FA 20:3;Ep
PMC2826838	M05000	34	64	FA 6:0;6NH2;2OH
PMC2826838	M01001	46	76	FA 6:0;6NH2;2OH
PMC2826838	M03000	230	260	FA 6:0;6NH2;2OH
PMC3426673	R00015	93	99	FA 20:4;OH
PMC6314687	R03000	175	181	FA 20:4;OH
PMC5156423	R01011	76	82	FA 20:4;OH
PMC5156423	R01004	89	95	FA 20:4;OH
PMC3741366	M10007	1601	1607	FA 20:4;OH
PMC3741366	M06024	1601	1607	FA 20:4;OH
PMC3741366	R03001	86	92	FA 20:4;OH
PMC5357680	A05001	271	279	FA 20:3;(OH)2
PMC5357680	R02041	272	280	FA 20:3;(OH)2
PMC3426673	R06018	127	138	FA 20:3;(OH)2
PMC6314687	R03000	203	210	FA 20:3;Ep
PMC6457987	D01005	94	101	FA 20:3;Ep
PMC6457987	D01003	98	105	FA 20:3;Ep
PMC6457987	D01013	138	145	FA 20:3;Ep
PMC4544761	M01003	216	223	FA 20:3;Ep
PMC3590212	A00004	196	206	FA 20:3;Ep
PMC3590212	D00045	47	57	FA 20:3;Ep
PMC2833138	R01022	116	164	FA 20:4(5Z,9E,11Z,14Z);8OH
PMC2833138	R01011	253	301	FA 20:4(5Z,9E,11Z,14Z);8OH
PMC6572825	R05005	191	197	FA 20:5;OH
PMC6314687	R03011	27	33	FA 20:4;OH
PMC6572825	M01007	83	89	FA 20:4;OH
PMC6457987	D02024	22	28	FA 20:4;OH
PMC6457987	D02022	67	73	FA 20:4;OH
PMC6314687	R03000	183	189	FA 20:4;OH
PMC5928440	R02003	135	141	FA 18:2;OH
PMC6572825	R03019	86	92	FA 18:2;OH
PMC5156423	R03012	42	48	FA 18:2;OH
PMC6314687	R03013	108	114	FA 18:2;OH
PMC6314687	M03007	295	301	FA 18:2;OH
PMC6572825	R07008	0	6	FA 18:2;OH
PMC6572825	R03009	172	178	FA 18:2;OH
PMC5928440	D00010	143	149	FA 18:2;OH
PMC3590212	D00046	143	149	FA 18:2;OH
PMC5928440	D00015	176	182	FA 18:2;OH
PMC3741366	M10007	287	293	FA 18:2;OH
PMC5928440	R01009	0	6	FA 18:2;OH
PMC6314687	M03000	134	140	FA 18:2;OH
PMC6572825	R07003	30	36	FA 18:2;OH
PMC6314687	M03000	265	271	FA 18:2;OH
PMC6314687	M04003	353	359	FA 18:2;OH
PMC6572825	R07006	0	6	FA 18:2;OH
PMC6314687	M04005	140	146	FA 18:2;OH
PMC3590212	A00005	135	141	FA 18:2;OH
PMC6314687	M03007	520	526	FA 18:2;OH
PMC3741366	M06024	287	293	FA 18:2;OH
PMC3890711	R00045	36	42	FA 18:2;OH
PMC5928440	R01008	113	119	FA 18:2;OH
PMC3590212	D00042	66	72	FA 18:2;OH
PMC6877605	R03003	307	313	FA 18:4;OH
PMC6572825	R03009	160	166	FA 18:4;OH
PMC6877605	R01015	307	313	FA 18:4;OH
PMC6314687	M00006	39	78	FA 18:0;12Ep;9OH
PMC3590212	D00041	190	220	FA 18:2;9OH
PMC3590212	R01014	111	141	FA 18:2;9OH
PMC5156423	R00007	26	55	FA 18:2;9OH
PMC3741366	R01001	101	127	FA 18:0;9OH
PMC3590212	D00041	298	324	FA 18:2;9oxo
PMC3590212	R01014	156	182	FA 18:2;9oxo
PMC6572825	R05007	110	121	FA 18:2;(OH)2
PMC6636917	R02015	62	73	FA 18:1;(OH)2
PMC6572825	R02011	100	111	FA 18:1;(OH)2
PMC6636917	R01011	106	117	FA 18:1;(OH)2
PMC6572825	D00018	100	111	FA 18:1;(OH)2
PMC6572825	R03008	14	25	FA 18:1;(OH)2
PMC6314687	R10012	42	52	FA 18:1;Ep
PMC4688025	R02001	464	491	FA 18:0;9Ep
PMC5315374	M01011	408	421	BMP 14:0_14:0
PMC6397561	R01052	41	55	BMP 14:0_14:0
PMC6397561	M04006	16	30	BMP 14:0_14:0
PMC7033707	R01013	9	25	FA 3:0;COOH
PMC4037179	R01010	91	107	FA 3:0;COOH
PMC4037179	R01006	42	58	FA 3:0;COOH
PMC4037179	R01009	109	125	FA 3:0;COOH
PMC3064854	R01042	27	40	FA 4:0
PMC3874406	R04010	145	158	FA 4:0
PMC5980850	R01001	65	78	FA 4:0
PMC5980850	D00010	115	128	FA 4:0
PMC3874406	R03008	54	67	FA 4:0
PMC3064854	D00021	131	144	FA 4:0
PMC3134066	A01013	200	213	FA 4:0
PMC3064854	R01074	86	99	FA 4:0
PMC5980850	D00029	47	60	FA 4:0
PMC5980850	A02001	69	82	FA 4:0
PMC5980850	D00013	89	102	FA 4:0
PMC3064854	R01062	80	93	FA 4:0
PMC4819600	R01004	147	160	FA 4:0
PMC3874406	R04009	237	250	FA 4:0
PMC3874406	R03015	178	191	FA 4:0
PMC3874406	R01008	239	252	FA 4:0
PMC4819600	R02004	147	160	FA 4:0
PMC3596408	D00003	76	89	FA 4:0
PMC6592169	R06017	114	127	FA 4:0
PMC5980850	D00043	87	100	FA 4:0
PMC3874406	R04016	127	140	FA 4:0
PMC3874406	R05008	150	163	FA 4:0
PMC5980850	D00032	0	13	FA 4:0
PMC6815665	R01011	0	13	FA 4:0
PMC4758628	R03016	72	81	SE 27:1/18:0
PMC4758628	D00004	35	44	SE 27:1/18:0
PMC4758628	R04009	151	160	SE 27:1/18:0
PMC4758628	D00028	119	128	SE 27:1/18:0
PMC4758628	D00032	35	44	SE 27:1/18:0
PMC4758628	R03013	56	65	SE 27:1/18:0
PMC4758628	D00019	0	9	SE 27:1/18:0
PMC7015966	R03003	269	278	SE 27:1/18:1
PMC7015966	R03003	283	292	SE 27:1/18:2
PMC6244184	M03020	81	90	SE 27:1/22:1
PMC6244184	M04004	63	72	SE 27:1/22:1
PMC6585800	R01001	138	146	SE 27:1/16:1
PMC6426235	M06004	86	94	SE 27:1/19:0
PMC6585800	R01001	151	159	SE 27:1/20:4
PMC6585800	R01003	153	161	SE 27:1/22:4
PMC3766747	R03004	27	37	Cer 22:0;O2
PMC3766747	R01002	195	205	Cer 24:0;O2
PMC3766747	R08002	75	85	Cer 24:0;O2
PMC3766747	R03010	40	50	Cer 24:0;O2
PMC6938899	D02001	142	158	Cer 18:0;1OH,3OH/24:0
PMC6938899	D02002	0	16	Cer 18:0;1OH,3OH/24:0
PMC6938899	R04013	31	47	Cer 18:1;O2/24:1
PMC6629294	R00059	76	90	Cer 16:1;O2/18:0
PMC6762021	M01003	87	101	Cer 18:0;O2/24:1
PMC6629294	R00059	95	109	Cer 18:1;O2/18:0
PMC6629294	R00002	67	81	Cer 18:2;O2/16:0
PMC3734953	R01021	22	36	Cer 18:0;O2/24:1
PMC3734953	R00026	22	36	Cer 18:0;O2/24:1
PMC5357680	R01006	589	603	Cer 18:1;O2/24:1
PMC3766747	R03003	152	161	Cer 22:0;O2
PMC3766747	R04002	74	83	Cer 22:0;O2
PMC3766747	R02000	34	43	Cer 22:0;O2
PMC3766747	M06000	86	95	Cer 22:0;O2
PMC3766747	R05001	131	140	Cer 22:0;O2
PMC3766747	M04005	344	353	Cer 22:0;O2
PMC3766747	R04004	66	75	Cer 22:0;O2
PMC3766747	R02004	40	49	Cer 22:0;O2
PMC3766747	M00000	0	9	Cer 22:0;O2
PMC3766747	R00005	39	48	Cer 22:0;O2
PMC3766747	R04003	67	76	Cer 22:0;O2
PMC3766747	R03013	74	83	Cer 22:0;O2
PMC3766747	R00001	80	89	Cer 22:0;O2
PMC3766747	R00002	170	179	Cer 22:0;O2
PMC3766747	R07003	51	60	Cer 22:0;O2
PMC3766747	R03010	26	35	Cer 22:0;O2
PMC3766747	R08011	54	63	Cer 22:0;O2
PMC3766747	R07005	4	13	Cer 22:0;O2
PMC3766747	A00004	0	9	Cer 22:0;O2
PMC3766747	R07004	4	13	Cer 22:0;O2
PMC3766747	R03011	77	86	Cer 22:0;O2
PMC3766747	R03008	141	150	Cer 22:0;O2
PMC3766747	R08012	116	125	Cer 22:0;O2
PMC3766747	R08002	61	70	Cer 22:0;O2
PMC3766747	M05001	47	56	Cer 22:0;O2
PMC3766747	M02001	43	52	Cer 22:0;O2
PMC3766747	M05000	34	43	Cer 22:0;O2
PMC3766747	R01002	181	190	Cer 22:0;O2
PMC3766747	M04009	212	221	Cer 22:0;O2
PMC3766747	R04005	50	59	Cer 22:0;O2
PMC3766747	R02002	25	34	Cer 22:0;O2
PMC3766747	R07000	17	26	Cer 22:0;O2
PMC3766747	M06001	98	107	Cer 22:0;O2
PMC3766747	M04001	14	23	Cer 22:0;O2
PMC3766747	M04009	254	263	Cer 22:0;O2
PMC3766747	R04007	49	58	Cer 22:0;O2
PMC3766747	R05008	34	43	Cer 22:0;O2
PMC3766747	R08003	24	33	Cer 22:0;O2
PMC3766747	R07002	17	26	Cer 22:0;O2
PMC3766747	R03001	89	98	Cer 22:0;O2
PMC3766747	R08006	64	73	Cer 22:0;O2
PMC3766747	A00009	64	73	Cer 22:0;O2
PMC3766747	R05003	79	88	Cer 22:0;O2
PMC3766747	R02001	24	33	Cer 22:0;O2
PMC3766747	R02003	48	57	Cer 22:0;O2
PMC3766747	A00003	193	202	Cer 22:0;O2
PMC3766747	R00005	97	106	Cer 22:0;O2
PMC3766747	R08013	7	16	Cer 22:0;O2
PMC3766747	A00008	75	84	Cer 22:0;O2
PMC3766747	R03002	113	122	Cer 22:0;O2
PMC3766747	R07001	46	55	Cer 22:0;O2
PMC3766747	R00000	0	9	Cer 22:0;O2
PMC3766747	M05001	163	172	Cer 22:0;O2
PMC3766747	R07003	65	74	Cer 24:0;O2
PMC3766747	R02002	39	48	Cer 24:0;O2
PMC3766747	R03011	110	119	Cer 24:0;O2
PMC3766747	M04001	28	37	Cer 24:0;O2
PMC3766747	R05001	165	174	Cer 24:0;O2
PMC3766747	R03003	166	175	Cer 24:0;O2
PMC3766747	R07001	60	69	Cer 24:0;O2
PMC3766747	R00005	108	117	Cer 24:0;O2
PMC3766747	R03013	121	130	Cer 24:0;O2
PMC3766747	R05008	48	57	Cer 24:0;O2
PMC3766747	R07000	31	40	Cer 24:0;O2
PMC3766747	A00009	78	87	Cer 24:0;O2
PMC3766747	R04007	63	72	Cer 24:0;O2
PMC3766747	R04003	81	90	Cer 24:0;O2
PMC3766747	A00003	207	216	Cer 24:0;O2
PMC3766747	M05001	61	70	Cer 24:0;O2
PMC3766747	R00002	184	193	Cer 24:0;O2
PMC3766747	M06000	100	109	Cer 24:0;O2
PMC3766747	R04002	88	97	Cer 24:0;O2
PMC3766747	R08003	38	47	Cer 24:0;O2
PMC3766747	M04005	358	367	Cer 24:0;O2
PMC3766747	R00000	11	20	Cer 24:0;O2
PMC3766747	A00005	4	13	Cer 24:0;O2
PMC3766747	R04004	80	89	Cer 24:0;O2
PMC3766747	M00000	14	23	Cer 24:0;O2
PMC3766747	R03004	42	51	Cer 24:0;O2
PMC3766747	A00008	89	98	Cer 24:0;O2
PMC3766747	R08013	25	34	Cer 24:0;O2
PMC3766747	R02003	68	77	Cer 24:0;O2
PMC3766747	R07002	31	40	Cer 24:0;O2
PMC3766747	R08006	38	47	Cer 24:0;O2
PMC3766747	R08012	130	139	Cer 24:0;O2
PMC3766747	R02000	48	57	Cer 24:0;O2
PMC3766747	R05003	93	102	Cer 24:0;O2
PMC3766747	M05001	177	186	Cer 24:0;O2
PMC3766747	R03001	103	112	Cer 24:0;O2
PMC3766747	M04009	297	306	Cer 24:0;O2
PMC3766747	M05000	48	57	Cer 24:0;O2
PMC3766747	M06001	112	121	Cer 24:0;O2
PMC3766747	R04005	64	73	Cer 24:0;O2
PMC3766747	R03008	155	164	Cer 24:0;O2
PMC3766747	R08011	68	77	Cer 24:0;O2
PMC3766747	R07004	18	27	Cer 24:0;O2
PMC3766747	M02001	70	79	Cer 24:0;O2
PMC3766747	R07005	18	27	Cer 24:0;O2
PMC3766747	M04009	339	348	Cer 24:0;O2
PMC3766747	R03002	148	157	Cer 24:0;O2
PMC3766747	R02001	38	47	Cer 24:0;O2
PMC4013650	D00026	226	235	Cer 36:2;O2
PMC4013650	D00013	191	200	Cer 36:2;O2
PMC6162413	D00007	369	378	Cer 42:1;O2
PMC6162413	R02003	32	41	Cer 42:3;O2
PMC6585800	R03002	31	46	Cer 18:0;1OH,3OH/18:0
PMC6585800	R02000	99	114	Cer 18:0;1OH,3OH/22:0
PMC3734953	R05027	24	39	Cer 18:0;O2/24:1
PMC3734953	R06020	24	39	Cer 18:0;O2/24:1
PMC6426235	M06003	45	60	Cer 18:1;O2/12:0
PMC6426235	M09002	197	212	Cer 18:1;O2/12:0
PMC5402394	M07007	143	158	Cer 18:1;O2/15:0
PMC6162413	R02003	118	133	Cer 18:1;O2/16:0
PMC6162413	D00007	317	332	Cer 18:1;O2/16:0
PMC3334549	M03015	249	264	Cer 18:1;O2/17:0
PMC3726671	M05013	111	126	Cer 18:1;O2/17:0
PMC6162413	M02004	162	177	Cer 18:1;O2/17:0
PMC3726671	M04000	198	213	Cer 18:1;O2/17:0
PMC3321123	M02012	214	229	Cer 18:1;O2/17:0
PMC3734953	M00004	178	193	Cer 18:1;O2/17:0
PMC6585800	R01008	11	26	Cer 18:1;O2/18:0
PMC6585800	R03002	0	15	Cer 18:1;O2/18:0
PMC6585800	R04000	72	87	Cer 18:1;O2/18:0
PMC5585246	R03028	28	43	Cer 18:1;O2/21:0
PMC6261534	R01000	110	125	Cer 18:1;O2/22:0
PMC6585800	R03002	52	67	Cer 18:1;O2/22:0
PMC5564526	D00031	21	36	Cer 18:1;O2/23:0
PMC6261534	R01005	117	132	Cer 18:1;O2/24:0
PMC6261534	R01003	115	130	Cer 18:1;O2/24:0
PMC6162413	D00007	334	349	Cer 18:1;O2/24:1
PMC6162413	R02004	61	76	Cer 18:1;O2/24:1
PMC3726671	D00023	281	296	Cer 18:2;O2/18:1
PMC5585246	R03028	48	63	Cer 18:2;O2/23:0
PMC6162413	R02004	79	94	Cer 18:2;O2/24:0
PMC6162413	D00007	352	367	Cer 18:2;O2/24:0
PMC6274842	M03003	112	133	Cer 18:1;O2/16:0
PMC6274842	R04005	153	174	Cer 18:1;O2/16:0
PMC6274842	R00018	96	117	Cer 18:1;O2/16:0
PMC6274842	M03003	240	261	Cer 18:1;O2/16:0
PMC6274842	M03006	11	32	Cer 18:1;O2/17:0
PMC6274842	M03003	144	165	Cer 18:1;O2/18:0
PMC6274842	R00018	310	331	Cer 18:1;O2/18:0
PMC6274842	M03003	176	197	Cer 18:1;O2/22:0
PMC6274842	M03003	208	229	Cer 18:1;O2/24:0
PMC6660083	R11021	27	47	Cer 18:1;O2/20:0
PMC3719870	D00033	161	177	CerP 18:1;O2/12:0
PMC3392268	A00002	51	62	ST 27:1;O
PMC5811927	R04005	68	79	ST 27:1;O
PMC4789271	M01007	0	11	ST 27:1;O
PMC5684259	D01004	0	11	ST 27:1;O
PMC5811927	A03003	0	11	ST 27:1;O
PMC5725507	D04007	0	11	ST 27:1;O
PMC5660916	M00013	387	398	ST 27:1;O
PMC6316279	D00004	0	11	ST 27:1;O
PMC2836072	M05014	0	11	ST 27:1;O
PMC3493305	M02005	123	134	ST 27:1;O
PMC7047385	A03000	22	33	ST 27:1;O
PMC5569592	D00012	113	124	ST 27:1;O
PMC4391846	M00002	42	53	ST 27:1;O
PMC5931366	D00001	43	54	ST 27:1;O
PMC6114786	R02007	40	51	ST 27:1;O
PMC5811927	R03003	80	91	ST 27:1;O
PMC6114786	R04015	559	570	ST 27:1;O
PMC5344496	R03010	120	131	ST 27:1;O
PMC6712511	M01006	7	18	ST 27:1;O
PMC5974275	D00020	0	11	ST 27:1;O
PMC5660916	M00015	387	398	ST 27:1;O
PMC5323494	D00051	0	11	ST 27:1;O
PMC3661207	A02003	0	11	ST 27:1;O
PMC5569592	D00013	0	11	ST 27:1;O
PMC6316279	R02012	4	15	ST 27:1;O
PMC5383249	D08004	0	11	ST 27:1;O
PMC5684259	M02020	0	11	ST 27:1;O
PMC5931366	A02000	79	90	ST 27:1;O
PMC3392268	M00000	54	65	ST 27:1;O
PMC7058291	R00003	198	209	ST 27:1;O
PMC3087804	R02003	125	136	ST 27:1;O
PMC3136924	M04011	0	11	ST 27:1;O
PMC5835505	R04000	0	11	ST 27:1;O
PMC3192752	R00000	73	84	ST 27:1;O
PMC2836072	R00004	0	11	ST 27:1;O
PMC5344496	R02014	16	27	ST 27:1;O
PMC6136796	R01003	0	11	ST 27:1;O
PMC6114786	R04004	559	570	ST 27:1;O
PMC2836072	M02031	0	11	ST 27:1;O
PMC6133272	R04005	0	11	ST 27:1;O
PMC3192752	M00000	54	65	ST 27:1;O
PMC6114786	R02007	83	94	ST 27:1;O
PMC3616116	M03002	0	11	ST 27:1;O
PMC5684259	A00005	0	11	ST 27:1;O
PMC3192752	A00005	80	91	ST 27:1;O
PMC6938899	M01003	48	59	ST 27:1;O
PMC3392268	R02011	30	41	ST 27:1;O
PMC5137183	M01007	201	212	ST 27:1;O
PMC6136796	R03009	0	11	ST 27:1;O
PMC7047385	R00011	0	11	ST 27:1;O
PMC3596894	R04007	0	11	ST 27:1;O
PMC3392268	R00027	30	41	ST 27:1;O
PMC5811927	R04011	0	11	ST 27:1;O
PMC4037179	R01007	0	11	ST 27:1;O
PMC6930386	M01005	138	149	ST 27:1;O
PMC2836072	M01031	0	11	ST 27:1;O
PMC3661207	R01001	0	11	ST 27:1;O
PMC6020709	D00019	0	11	ST 27:1;O
PMC6948762	M01002	249	262	DG 16:0_18:1
PMC4802395	R00004	69	82	DG 16:0_18:2
PMC3901199	M01003	142	155	DG 17:0_17:0
PMC4802395	R00004	127	140	DG 18:0_18:2
PMC4802395	R00004	105	118	DG 18:1_18:1
PMC4802395	R00003	0	8	DG 34:2
PMC4802395	R00004	37	45	DG 34:2
PMC6938899	R04010	12	20	DG 36:2
PMC4802395	R00003	13	21	DG 36:2
PMC4802395	R00004	89	97	DG 36:2
PMC4802395	R00003	127	135	DG 36:2
PMC3321123	M02012	156	170	DG 14:0_12:0
PMC5956006	R04024	92	105	FA 10:0
PMC5920367	R03026	346	359	FA 10:0
PMC5882858	D01019	21	34	FA 10:0
PMC6238211	D00011	62	75	FA 10:0
PMC5920367	D00039	70	83	FA 10:0
PMC6935851	R01008	56	69	FA 10:0
PMC5920367	A00006	111	124	FA 10:0
PMC5882858	R00037	191	204	FA 10:0
PMC5920367	R00050	346	359	FA 10:0
PMC5882858	A00006	48	61	FA 10:0
PMC5920367	R03014	141	154	FA 10:0
PMC5920367	R00038	141	154	FA 10:0
PMC6935851	R01008	252	265	FA 10:0
PMC3596408	D00005	125	138	FA 10:0
PMC5920367	D00038	9	22	FA 10:0
PMC3933977	R01059	89	102	FA 10:0
PMC5902797	D00038	50	63	FA 10:0
PMC5920367	D00007	55	68	FA 10:0
PMC5591409	D00015	75	88	FA 10:0
PMC5882858	D01018	45	58	FA 10:0
PMC5882858	R00038	208	221	FA 10:0
PMC5882858	D01009	19	32	FA 10:0
PMC6238211	D00013	111	124	FA 10:0
PMC6238211	D00010	0	13	FA 10:0
PMC6238211	D00011	98	111	FA 10:0
PMC5920367	D00037	0	13	FA 10:0
PMC4391846	D00036	39	55	FA 9:0;COOH
PMC4159123	D04009	20	36	FA 9:0;COOH
PMC4159123	D04007	0	16	FA 9:0;COOH
PMC6918450	R01012	139	153	DG 12:0_12:0
PMC5314995	R00014	68	77	DG 36:3
PMC6416286	R04005	12	21	DG 36:4
PMC5314995	R00005	156	165	DG 36:4
PMC6114786	R02004	222	234	DG 16:0_20:4
PMC6114786	R02004	297	309	DG 16:0_22:6
PMC7118049	R00013	103	110	DG 36:3
PMC7118049	R00013	112	119	DG 36:4
PMC7118049	R03004	0	7	DG 36:6
PMC7118049	M03003	117	124	DG 40:0
PMC6585800	R01001	74	87	DG 14:0_16:0
PMC6585800	R01003	138	151	DG 14:1_16:0
PMC6280838	D00012	0	13	DG 16:0_18:1
PMC6585800	R01001	89	102	DG 16:0_16:0
PMC6585800	R01001	104	117	DG 16:0_18:0
PMC6585800	R01001	123	136	DG 16:0_20:4
PMC3726671	M04001	47	64	DG 17:0/17:0/0:0
PMC3726671	M05013	192	209	DG 17:0/17:0/0:0
PMC6585800	R02000	182	195	DG 18:0_20:4
PMC6585800	R03006	91	104	DG 18:2_18:2
PMC6585800	R04001	36	49	DG 18:2_18:2
PMC6585800	D00042	51	64	DG 18:2_18:2
PMC6426235	M06003	113	126	DG 19:0_19:0
PMC4772092	R01010	147	155	DG 38:9
PMC4772092	R01011	58	66	DG 38:9
PMC4772092	R01013	168	176	DG 38:9
PMC4772092	A00006	153	161	DG 38:9
PMC3568070	M01000	359	379	FA 22:6
PMC6877605	D04001	171	191	FA 22:6
PMC5402394	R01028	169	189	FA 22:6
PMC3568070	M01004	243	263	FA 22:6
PMC5882049	D02013	50	70	FA 22:6
PMC6397561	D00070	109	129	FA 22:6
PMC6391464	R01064	6	26	FA 22:6
PMC4688025	A02003	116	136	FA 22:6
PMC6572825	R02009	128	148	FA 22:6
PMC5156423	R00008	41	61	FA 22:6
PMC6877605	D04003	38	58	FA 22:6
PMC6594461	R01012	63	83	FA 22:6
PMC6594461	R01026	87	107	FA 22:6
PMC5299457	R01013	51	71	FA 22:6
PMC4198093	M07009	74	94	FA 22:6
PMC6594461	R01026	48	68	FA 22:6
PMC3321123	D00026	157	177	FA 22:6
PMC3426673	A00004	150	170	FA 22:6
PMC6668592	A00006	192	212	FA 22:6
PMC4688025	R02001	239	259	FA 22:6
PMC4667423	A00000	61	81	FA 22:6
PMC6875220	R00038	88	108	FA 22:6
PMC5811927	A03005	50	70	FA 22:6
PMC6811572	D00041	35	55	FA 22:6
PMC4198093	M05018	74	94	FA 22:6
PMC5564526	D00054	100	120	FA 22:6
PMC6426235	A00005	108	128	FA 22:6
PMC6594461	R02011	126	146	FA 22:6
PMC6877605	D04001	295	315	FA 22:6
PMC5814209	D01003	42	62	FA 22:6
PMC6692400	D00027	220	240	FA 22:6
PMC6382115	R09002	70	90	FA 22:6
PMC6594461	R01012	133	153	FA 22:6
PMC4270876	D00009	82	102	FA 22:6
PMC5314995	D00052	24	44	FA 22:6
PMC4778071	D01010	177	197	FA 22:6
PMC5402394	R02005	124	144	FA 22:6
PMC3741366	A00003	223	243	FA 22:6
PMC5724857	D00007	51	71	FA 22:6
PMC5173345	D00048	208	228	FA 22:6
PMC2826632	M00013	2	22	FA 22:6
PMC6761105	R01013	20	40	FA 22:6
PMC5009176	D00028	112	132	FA 22:6
PMC5402394	R01031	88	108	FA 22:6
PMC6238211	R00019	54	74	FA 22:6
PMC5800830	D00012	231	251	FA 22:6
PMC5811927	R05012	53	73	FA 22:6
PMC4336096	D00024	41	61	FA 22:6
PMC6594461	R01025	92	112	FA 22:6
PMC5909403	A02000	62	82	FA 22:6
PMC6416208	A00003	146	166	FA 22:6
PMC5800830	R00024	37	57	FA 22:6
PMC3568070	R00008	124	144	FA 22:6
PMC3279728	D00036	124	144	FA 22:6
PMC5299457	R02014	51	71	FA 22:6
PMC6587322	R00002	19	39	FA 22:6
PMC6391464	R01060	50	70	FA 22:6
PMC4549881	D00056	164	184	FA 22:6
PMC4549881	R01039	31	51	FA 22:6
PMC4667423	A06000	23	43	FA 22:6
PMC6391464	R01062	0	20	FA 22:6
PMC4481449	R03009	56	76	FA 22:6
PMC4891018	R00002	158	178	FA 22:6
PMC4891018	R00011	184	204	FA 22:6
PMC6877605	D04001	136	157	FA 22:5
PMC4132238	D00013	67	88	FA 22:5
PMC6342642	R05040	56	77	FA 22:5
PMC6877605	D04001	261	282	FA 22:5
PMC6692400	D00027	170	191	FA 22:5
PMC6572825	R02009	156	177	FA 22:5
PMC4132238	R00027	120	141	FA 22:5
PMC6477036	R02017	58	79	FA 22:5
PMC6342642	R03028	162	183	FA 22:5
PMC4688025	R02001	149	170	FA 22:5
PMC4132238	A00005	79	100	FA 22:5
PMC6875220	R00037	218	239	FA 22:5
PMC4132238	D00016	0	21	FA 22:5
PMC5156423	R02002	112	133	FA 22:5
PMC6315767	D00035	71	92	FA 22:4
PMC6315767	A00004	139	160	FA 22:4
PMC6756100	R02005	111	126	FA 12:0
PMC6027507	R00055	20	35	FA 12:0
PMC6027507	R00013	310	325	FA 12:0
PMC4336096	R01014	84	99	FA 12:0
PMC6756100	D00002	47	62	FA 12:0
